name,team,pos,defTier,offense,shaped,speed,power,total,defBoost,salary,epmOff,epmDef,epmBasis
"Ausar Thompson",DET,SF,"Elite defender","",,13,12,25,4,760,-0.96,4.15,"82g 2026"
"Stephon Castle",SAS,PG,"Great defender","above average offense",,14,10,24,1,1070,1.00,1.35,"82g 2026"
"Paul Reed",DET,C,"Elite defender","above average offense",,10,14,24,2,1060,1.04,2.18,"9g 2025 + 73g 2026"
"Ajay Mitchell",OKC,SG,"Elite defender","above average offense",,14,10,24,2,1000,0.13,1.83,"14g 2025 + 68g 2026"
"Scottie Barnes",TOR,PF,"Great defender","above average offense",,10,14,24,2,910,1.00,1.77,"82g 2026"
"Amen Thompson",HOU,PG,"Great defender","above average offense",,14,10,24,1,900,1.11,1.30,"82g 2026"
"Jarrett Allen",CLE,C,"Great defender","very good offense",,9,15,24,1,900,1.69,1.20,"8g 2025 + 74g 2026"
"Dyson Daniels",ATL,SG,"Elite defender","above average offense",,14,10,24,3,810,0.08,2.51,"82g 2026"
"Luka Dončić",LAL,PG,"Average defender","elite offense",YES,17,6,23,0,1380,6.09,0.44,"18g 2025 + 64g 2026"
"Ja Morant",POR,PG,"Good defender","very good offense",,15,8,23,1,1310,1.87,0.79,"53g 2025 + 20g 2026"
"Stephen Curry",GSW,PG,"Average defender","elite offense",YES,18,5,23,-1,1290,5.63,-0.69,"39g 2025 + 43g 2026"
"Jalen Suggs",ORL,PG,"Great defender","above average offense",,14,9,23,2,1060,-0.11,1.77,"18g 2025 + 64g 2026"
"Evan Mobley",CLE,PF,"Good defender","above average offense",,9,14,23,1,910,0.73,0.93,"82g 2026"
"Jrue Holiday",POR,PG,"Good defender","above average offense",,14,9,23,1,870,0.83,0.86,"24g 2025 + 58g 2026"
"Donte DiVincenzo",MIN,SG,"Good defender","above average offense",,14,9,23,1,830,1.02,0.74,"82g 2026"
"Mikal Bridges",NYK,SF,"Good defender","above average offense",,12,11,23,1,810,0.91,1.02,"82g 2026"
"Moses Moody",GSW,SG,"Great defender","above average offense",,12,11,23,2,800,0.26,1.51,"22g 2025 + 60g 2026"
"Devin Vassell",SAS,SG,"Good defender","above average offense",,14,9,23,1,720,1.02,0.86,"82g 2026"
"Cason Wallace",OKC,SG,"Elite defender","",,14,9,23,3,490,-1.01,2.98,"82g 2026"
"Kawhi Leonard",LAC,SF,"Average defender","elite offense",YES,15,7,22,0,1340,5.48,0.60,"17g 2025 + 65g 2026"
"Paul George",BOS,PF,"Good defender","above average offense",,10,12,22,1,1080,-0.22,1.11,"34g 2025 + 48g 2026"
"LaMelo Ball",MIN,PG,"Average defender","elite offense",YES,17,5,22,0,1080,4.72,-0.44,"10g 2025 + 72g 2026"
"Tyrese Haliburton",IND,PG,"Average defender","elite offense",YES,17,5,22,0,960,4.88,-0.72,"carried 2025"
"Sandro Mamukelashvili",LAL,C,"Good defender","above average offense",,9,13,22,1,700,0.97,0.70,"82g 2026"
"Alex Caruso",OKC,SG,"Elite defender","",,12,10,22,3,700,-0.95,2.90,"12g 2025 + 70g 2026"
"Rudy Gobert",MIN,C,"Elite defender","",,8,14,22,3,640,-1.05,2.65,"82g 2026"
"Moussa Diabaté",CHA,C,"Good defender","above average offense",,9,13,22,1,610,0.53,0.69,"9g 2025 + 73g 2026"
"Kyrie Irving",DAL,SG,"Average defender","very good offense",YES,16,5,21,-1,1060,3.21,0.19,"carried 2025"
"Jaren Jackson Jr.",UTA,C,"Great defender","above average offense",,8,13,21,2,1050,0.68,1.55,"34g 2025 + 48g 2026"
"Dylan Harper",SAS,SG,"Good defender","above average offense",,12,9,21,1,850,0.21,1.06,"82g 2026"
"Josh Minott",BKN,PF,"Good defender","above average offense",,10,11,21,1,830,-0.67,0.78,"34g 2025 + 48g 2026"
"Day'Ron Sharpe",BKN,C,"Good defender","above average offense",,8,13,21,1,820,-0.18,1.11,"20g 2025 + 62g 2026"
"Josh Hart",NYK,SF,"Good defender","above average offense",,12,9,21,1,740,0.09,0.88,"82g 2026"
"Clint Capela",HOU,C,"Elite defender","",,8,13,21,3,730,-1.74,3.25,"3g 2025 + 79g 2026"
"Jordan Goodwin",PHX,PG,"Great defender","above average offense",,13,8,21,2,670,-0.56,1.45,"11g 2025 + 71g 2026"
"Wendell Carter Jr.",ORL,C,"Great defender","above average offense",,7,14,21,1,650,-0.13,1.16,"82g 2026"
"Derrick Jones Jr.",LAC,SF,"Good defender","above average offense",,11,10,21,1,650,-0.37,1.10,"32g 2025 + 50g 2026"
"Robert Williams",POR,C,"Great defender","",,8,13,21,2,640,-0.82,1.81,"18g 2025 + 64g 2026"
"Marcus Smart",HOU,SG,"Elite defender","",,13,8,21,2,590,-0.95,1.93,"10g 2025 + 72g 2026"
"Joel Embiid",PHI,C,"Average defender","very good offense",YES,4,16,20,0,1170,2.50,0.52,"19g 2025 + 45g 2026"
"Donovan Mitchell",CLE,SG,"Average defender","elite offense",YES,15,5,20,0,1150,4.28,-0.29,"82g 2026"
"Ty Jerome",MEM,SG,"Average defender","very good offense",YES,15,5,20,0,1060,3.05,0.39,"67g 2025 + 15g 2026"
"Damian Lillard",POR,PG,"Average defender","elite offense",YES,16,4,20,-1,1040,3.79,-0.63,"carried 2025"
"Kevin Durant",HOU,SF,"Average defender","elite offense",YES,6,14,20,1,1010,3.40,0.65,"3g 2025 + 79g 2026"
"Cade Cunningham",DET,PG,"Average defender","very good offense",YES,15,5,20,1,1010,3.22,0.69,"4g 2025 + 78g 2026"
"Jamal Murray",DEN,PG,"Awful defender","elite offense",YES,15,5,20,-2,980,4.57,-1.70,"1g 2025 + 81g 2026"
"Jalen Brunson",NYK,PG,"Bad defender","elite offense",YES,16,4,20,-1,950,3.99,-1.21,"82g 2026"
"Lauri Markkanen",UTA,PF,"Average defender","very good offense",YES,5,15,20,0,880,2.54,-0.00,"40g 2025 + 42g 2026"
"Jalen Duren",DET,C,"Average defender","very good offense",YES,4,16,20,1,860,2.68,0.54,"82g 2026"
"Tyrese Maxey",PHI,PG,"Average defender","very good offense",YES,16,4,20,0,840,2.97,0.11,"1g 2025 + 81g 2026"
"Jaden McDaniels",MIN,PF,"Good defender","above average offense",,10,10,20,1,750,-0.52,1.12,"82g 2026"
"Toumani Camara",POR,PF,"Good defender","above average offense",,9,11,20,1,670,-0.33,0.85,"82g 2026"
"Brook Lopez",LAC,C,"Elite defender","",,7,13,20,2,670,-1.06,1.89,"7g 2025 + 75g 2026"
"Jaylin Williams",OKC,PF,"Elite defender","",,8,12,20,2,660,-0.96,1.88,"2g 2025 + 80g 2026"
"Mitchell Robinson",BOS,C,"Great defender","above average offense",,8,12,20,2,650,-0.49,1.60,"4g 2025 + 78g 2026"
"Donovan Clingan",POR,C,"Average defender","very good offense",YES,4,16,20,1,630,1.76,0.63,"82g 2026"
"Gary Payton II",GSW,SG,"Good defender","above average offense",,12,8,20,1,630,-0.15,1.06,"9g 2025 + 73g 2026"
"Javonte Green",DET,SG,"Elite defender","",,12,8,20,2,620,-1.10,1.90,"82g 2026"
"Anthony Edwards",MIN,SG,"Average defender","very good offense",YES,14,5,19,-1,1060,3.06,-0.54,"11g 2025 + 71g 2026"
"Devin Booker",PHX,SG,"Average defender","very good offense",YES,14,5,19,0,1010,2.77,-0.66,"14g 2025 + 68g 2026"
"James Harden",CLE,PG,"Average defender","elite offense",YES,14,5,19,-1,960,3.22,-0.81,"82g 2026"
"Dejounte Murray",NOP,PG,"Average defender","",,12,7,19,1,950,-0.84,0.47,"31g 2025 + 14g 2026"
"Tyler Herro",MIL,SG,"Average defender","elite offense",YES,14,5,19,-1,940,3.45,-0.74,"49g 2025 + 33g 2026"
"Austin Reaves",LAL,SG,"Average defender","very good offense",YES,14,5,19,0,850,2.59,-0.12,"25g 2025 + 57g 2026"
"De'Aaron Fox",SAS,PG,"Average defender","very good offense",YES,15,4,19,0,850,1.84,0.47,"82g 2026"
"Trae Young",WAS,PG,"Awful defender","elite offense",YES,15,4,19,-2,850,3.27,-1.87,"67g 2025 + 15g 2026"
"Domantas Sabonis",SAC,C,"Average defender","very good offense",YES,4,15,19,0,810,2.23,0.54,"63g 2025 + 19g 2026"
"Ivica Zubac",IND,C,"Good defender","above average offense",,7,12,19,0,790,0.80,0.92,"34g 2025 + 48g 2026"
"Peyton Watson",CLE,SF,"Average defender","",,10,9,19,0,720,-0.74,0.07,"28g 2025 + 54g 2026"
"Tari Eason",HOU,PF,"Great defender","above average offense",,9,10,19,1,670,-0.73,1.19,"16g 2025 + 66g 2026"
"Immanuel Quickley",TOR,PG,"Average defender","very good offense",YES,15,4,19,0,650,2.23,0.00,"12g 2025 + 70g 2026"
"Payton Pritchard",BOS,PG,"Slightly negative defender","very good offense",YES,15,4,19,-1,640,2.64,-1.00,"82g 2026"
"Collin Murray-Boyles",TOR,PF,"Good defender","above average offense",,8,11,19,1,620,-0.63,1.13,"64g 2026"
"Collin Gillespie",PHX,PG,"Average defender","very good offense",YES,15,4,19,0,560,1.78,0.39,"82g 2026"
"Goga Bitadze",ORL,C,"Good defender","above average offense",,7,12,19,1,560,-0.23,1.07,"12g 2025 + 70g 2026"
"Jordan Walsh",BOS,PF,"Good defender","",,9,10,19,1,270,-1.13,0.92,"10g 2025 + 72g 2026"
"Kon Knueppel",CHA,SF,"Average defender","very good offense",YES,13,5,18,0,940,2.86,-0.24,"81g 2026"
"Darius Garland",LAC,PG,"Average defender","very good offense",YES,14,4,18,-1,940,3.11,-0.71,"37g 2025 + 45g 2026"
"Desmond Bane",ORL,SG,"Average defender","very good offense",YES,13,5,18,0,890,1.66,-0.10,"82g 2026"
"Jimmy Butler",GSW,SF,"Average defender","very good offense",YES,5,13,18,0,840,3.14,0.43,"44g 2025 + 38g 2026"
"Nickeil Alexander-Walker",ATL,SG,"Average defender","very good offense",YES,14,4,18,0,820,1.80,0.04,"82g 2026"
"Jusuf Nurkić",UTA,C,"Good defender","",,6,12,18,1,800,-1.53,0.95,"41g 2025 + 41g 2026"
"Precious Achiuwa",SAC,C,"Average defender","",,8,10,18,0,780,-0.86,0.35,"9g 2025 + 73g 2026"
"Olivier-Maxence Prosper",MEM,PF,"Average defender","",,8,10,18,-1,730,-1.04,-0.02,"35g 2025 + 47g 2026"
"De'Anthony Melton",GSW,PG,"Good defender","",,11,7,18,1,700,-0.86,0.90,"6g 2025 + 49g 2026"
"Anthony Black",ORL,PG,"Average defender","",,11,7,18,1,690,-1.27,0.63,"11g 2025 + 71g 2026"
"Isaiah Stewart",MEM,C,"Good defender","",,7,11,18,1,620,-1.10,0.74,"10g 2025 + 72g 2026"
"Jose Alvarado",NYK,PG,"Good defender","",,12,6,18,1,600,-0.76,0.79,"82g 2026"
"Keegan Murray",SAC,PF,"Good defender","",,8,10,18,1,580,-0.76,1.01,"59g 2025 + 23g 2026"
"Dru Smith",MIA,SG,"Elite defender","",,11,7,18,2,580,-2.12,2.00,"12g 2025 + 70g 2026"
"Dean Wade",PHI,PF,"Good defender","",,8,10,18,1,420,-0.75,0.73,"6g 2025 + 76g 2026"
"Oso Ighodaro",PHX,PF,"Great defender","",,7,11,18,1,400,-1.44,1.45,"82g 2026"
"Kris Dunn",LAC,PG,"Great defender","",,11,7,18,1,370,-1.41,1.34,"82g 2026"
"Jaylen Brown",PHI,SF,"Average defender","very good offense",YES,12,5,17,0,1150,1.97,-0.13,"4g 2025 + 78g 2026"
"Deni Avdija",POR,SF,"Slightly negative defender","very good offense",YES,12,5,17,-1,1040,2.57,-0.90,"12g 2025 + 70g 2026"
"Zion Williamson",NOP,PF,"Average defender","very good offense",YES,4,13,17,0,1000,1.92,-0.11,"20g 2025 + 62g 2026"
"Trey Murphy III",NOP,SF,"Average defender","very good offense",YES,12,5,17,-1,900,2.20,-0.70,"16g 2025 + 66g 2026"
"Coby White",CHA,SG,"Bad defender","very good offense",YES,13,4,17,-1,900,1.76,-1.19,"32g 2025 + 50g 2026"
"Jalen Johnson",ATL,SF,"Average defender","above average offense",YES,5,12,17,0,870,1.31,0.08,"4g 2025 + 78g 2026"
"Michael Porter Jr.",BKN,SF,"Bad defender","very good offense",YES,12,5,17,-1,870,2.99,-1.32,"30g 2025 + 52g 2026"
"Pascal Siakam",IND,PF,"Average defender","very good offense",YES,4,13,17,0,860,1.61,0.23,"20g 2025 + 62g 2026"
"Norman Powell",CHI,SG,"Average defender","very good offense",YES,13,4,17,0,860,1.92,-0.28,"24g 2025 + 58g 2026"
"RJ Barrett",TOR,SF,"Average defender","very good offense",YES,12,5,17,-1,830,1.76,-0.52,"18g 2025 + 64g 2026"
"CJ McCollum",ATL,PG,"Average defender","above average offense",YES,13,4,17,0,820,1.28,-0.09,"82g 2026"
"Aaron Gordon",DEN,PF,"Average defender","very good offense",YES,4,13,17,0,810,1.83,-0.68,"43g 2025 + 39g 2026"
"Jalen Smith",CHI,C,"Average defender","above average offense",YES,4,13,17,0,790,1.16,0.04,"29g 2025 + 53g 2026"
"Ryan Rollins",MIL,PG,"Average defender","above average offense",YES,13,4,17,0,720,0.63,0.30,"8g 2025 + 74g 2026"
"Bilal Coulibaly",WAS,SG,"Average defender","",,10,7,17,1,670,-1.68,0.44,"26g 2025 + 56g 2026"
"Grayson Allen",CHA,SG,"Average defender","above average offense",YES,13,4,17,0,650,1.27,-0.58,"29g 2025 + 53g 2026"
"Ron Holland",DET,SF,"Elite defender","",,8,9,17,3,610,-3.02,2.53,"82g 2026"
"Nic Claxton",CHI,C,"Average defender","",,7,10,17,0,600,-0.79,-0.28,"13g 2025 + 69g 2026"
"Kyshawn George",WAS,SF,"Average defender","",,8,9,17,0,570,-1.20,0.00,"34g 2025 + 48g 2026"
"Micah Potter",POR,C,"Slightly negative defender","",,6,11,17,-1,560,-0.99,-1.15,"36g 2025 + 46g 2026"
"Ryan Dunn",PHX,SF,"Good defender","",,8,9,17,1,540,-1.85,1.11,"11g 2025 + 71g 2026"
"Zach Edey",MEM,C,"Average defender","above average offense",YES,3,14,17,0,520,0.82,-0.14,"70g 2025 + 11g 2026"
"Miles McBride",NYK,SG,"Average defender","above average offense",YES,13,4,17,0,470,0.65,0.61,"22g 2025 + 60g 2026"
"Duncan Robinson",DET,SG,"Average defender","very good offense",YES,12,5,17,-1,450,1.94,-0.58,"82g 2026"
"Ja'Kobe Walter",TOR,SG,"Good defender","",,11,6,17,1,440,-1.13,0.70,"3g 2025 + 79g 2026"
"Baylor Scheierman",BOS,SG,"Average defender","",,10,7,17,1,410,-0.91,0.53,"82g 2026"
"Jamal Shead",TOR,PG,"Average defender","",,11,6,17,1,350,-1.27,0.64,"82g 2026"
"Herbert Jones",NOP,SF,"Good defender","",,10,7,17,1,320,-1.73,0.96,"20g 2025 + 56g 2026"
"Josh Okogie",UTA,SG,"Good defender","",,10,7,17,1,220,-1.55,1.10,"82g 2026"
"LeBron James",PHI,SF,"Average defender","very good offense",YES,11,5,16,0,870,1.41,0.01,"12g 2025 + 70g 2026"
"Paolo Banchero",ORL,PF,"Average defender","above average offense",YES,4,12,16,0,850,0.52,-0.10,"3g 2025 + 79g 2026"
"Keyonte George",UTA,PG,"Awful defender","very good offense",YES,13,3,16,-2,820,1.79,-2.54,"28g 2025 + 54g 2026"
"Cedric Coward",MEM,SG,"Average defender","above average offense",YES,12,4,16,0,790,0.66,0.08,"62g 2026"
"Kel'el Ware",MIL,C,"Average defender","above average offense",YES,3,13,16,0,780,0.47,0.10,"5g 2025 + 77g 2026"
"Julius Randle",BKN,PF,"Average defender","above average offense",YES,4,12,16,0,770,1.23,-0.11,"82g 2026"
"T.J. McConnell",IND,PG,"Average defender","above average offense",YES,13,3,16,0,740,0.32,0.09,"26g 2025 + 56g 2026"
"Alperen Şengün",HOU,C,"Average defender","above average offense",YES,4,12,16,-1,730,1.26,-0.62,"5g 2025 + 77g 2026"
"Quenton Jackson",IND,PG,"Average defender","",,10,6,16,0,680,-0.73,-0.21,"24g 2025 + 47g 2026"
"Dillon Brooks",PHX,SF,"Average defender","above average offense",YES,5,11,16,0,670,0.37,0.44,"22g 2025 + 60g 2026"
"P.J. Washington",DAL,PF,"Average defender","",,7,9,16,1,600,-1.47,0.69,"26g 2025 + 56g 2026"
"Kyle Kuzma",MIL,PF,"Average defender","",,8,8,16,0,600,-1.29,-0.31,"13g 2025 + 69g 2026"
"Onyeka Okongwu",ATL,C,"Average defender","above average offense",YES,4,12,16,0,590,0.13,0.33,"2g 2025 + 80g 2026"
"Isaiah Joe",DET,SG,"Average defender","very good offense",YES,13,3,16,0,580,1.42,-0.32,"82g 2026"
"Karlo Matković",NOP,PF,"Average defender","",,7,9,16,0,570,-1.06,-0.41,"21g 2025 + 61g 2026"
"Jaxson Hayes",UTA,C,"Average defender","",,6,10,16,0,550,-0.74,-0.21,"6g 2025 + 76g 2026"
"Kelly Oubre Jr.",IND,SF,"Average defender","",,8,8,16,0,540,-0.85,-0.17,"21g 2025 + 61g 2026"
"Max Christie",DAL,SG,"Average defender","",,10,6,16,0,540,-0.80,-0.44,"5g 2025 + 77g 2026"
"Dominick Barlow",PHI,PF,"Average defender","",,7,9,16,1,530,-1.60,0.62,"2g 2025 + 80g 2026"
"Ziaire Williams",LAL,SF,"Average defender","",,9,7,16,1,530,-1.64,0.60,"26g 2025 + 56g 2026"
"Jamir Watkins",WAS,SG,"Good defender","",,9,7,16,1,530,-1.89,0.89,"47g 2026"
"Quentin Grimes",LAL,SG,"Average defender","",,9,7,16,0,510,-1.02,-0.20,"82g 2026"
"Julian Champagnie",SAS,SF,"Average defender","very good offense",YES,11,5,16,0,500,1.33,0.12,"82g 2026"
"Yves Missi",NOP,C,"Average defender","",,6,10,16,1,490,-1.78,0.16,"16g 2025 + 66g 2026"
"Jabari Smith Jr.",HOU,PF,"Average defender","above average offense",YES,4,12,16,0,480,0.38,0.06,"82g 2026"
"VJ Edgecombe",PHI,SG,"Average defender","above average offense",YES,13,3,16,0,480,0.20,0.17,"82g 2026"
"Vince Williams Jr.",2TM,SG,"Average defender","",,10,6,16,1,480,-1.94,0.30,"29g 2025 + 40g 2026"
"Jakob Poeltl",TOR,C,"Average defender","above average offense",YES,3,13,16,0,470,0.43,0.57,"29g 2025 + 53g 2026"
"Ryan Kalkbrenner",CHA,C,"Average defender","",,6,10,16,0,440,-1.46,0.36,"69g 2026"
"Davion Mitchell",MIA,PG,"Average defender","above average offense",YES,12,4,16,0,420,0.19,0.38,"12g 2025 + 70g 2026"
"Tristan Da Silva",ORL,SF,"Average defender","",,8,8,16,0,410,-1.08,-0.12,"82g 2026"
"Josh Green",UTA,SG,"Average defender","",,10,6,16,0,400,-1.64,0.44,"24g 2025 + 58g 2026"
"Dylan Cardwell",SAC,C,"Good defender","",,6,10,16,1,380,-2.08,1.10,"44g 2026"
"Hugo González",BOS,SF,"Great defender","",,9,7,16,1,310,-2.23,1.45,"73g 2026"
"Luguentz Dort",ATL,SF,"Average defender","",,8,8,16,0,270,-1.43,0.23,"82g 2026"
"Mouhamed Gueye",ATL,PF,"Good defender","",,7,9,16,1,240,-1.89,1.13,"81g 2026"
"Craig Porter Jr.",CLE,PG,"Average defender","",,10,6,16,0,210,-1.47,0.08,"13g 2025 + 69g 2026"
"Dwight Powell",DAL,C,"Average defender","",,6,10,16,0,190,-1.51,-0.03,"24g 2025 + 58g 2026"
"Jonas Valančiūnas",DEN,C,"Slightly negative defender","above average offense",YES,3,12,15,-1,950,0.92,-1.06,"14g 2025 + 68g 2026"
"Bennedict Mathurin",LAC,SF,"Average defender","",,8,7,15,-1,830,-0.77,-0.79,"28g 2025 + 54g 2026"
"Josh Giddey",CHI,PG,"Average defender","above average offense",YES,11,4,15,-1,800,1.06,-0.80,"28g 2025 + 54g 2026"
"GG Jackson II",MEM,PF,"Slightly negative defender","",,7,8,15,-1,740,-1.23,-1.13,"28g 2025 + 51g 2026"
"Nikola Vučević",ORL,C,"Average defender","above average offense",YES,3,12,15,0,730,0.85,-0.39,"13g 2025 + 69g 2026"
"Jaime Jaquez Jr.",MIL,SF,"Average defender","",,7,8,15,-1,730,-0.85,-0.61,"7g 2025 + 75g 2026"
"Zach LaVine",SAC,SG,"Bad defender","very good offense",YES,11,4,15,-2,720,2.02,-1.60,"43g 2025 + 39g 2026"
"Miles Bridges",PHX,PF,"Average defender","above average offense",YES,4,11,15,-1,720,1.31,-0.56,"5g 2025 + 77g 2026"
"Bones Hyland",MIN,PG,"Average defender","above average offense",YES,12,3,15,0,660,0.51,-0.06,"3g 2025 + 79g 2026"
"Brandin Podziemski",GSW,SG,"Average defender","above average offense",YES,11,4,15,1,650,-0.56,0.61,"82g 2026"
"Tre Jones",CHI,PG,"Average defender","above average offense",YES,12,3,15,-1,650,0.65,-0.43,"17g 2025 + 65g 2026"
"Jalen Green",PHX,SG,"Average defender","above average offense",YES,12,3,15,-1,650,0.73,-0.69,"46g 2025 + 36g 2026"
"Luka Garza",BOS,C,"Bad defender","very good offense",YES,3,12,15,-1,650,1.97,-1.32,"8g 2025 + 74g 2026"
"Cam Spencer",MEM,SG,"Bad defender","very good offense",YES,12,3,15,-1,620,1.77,-1.40,"10g 2025 + 72g 2026"
"Cameron Johnson",DEN,SF,"Average defender","very good offense",YES,10,5,15,0,610,1.50,-0.31,"22g 2025 + 60g 2026"
"Saddiq Bey",NOP,SF,"Slightly negative defender","very good offense",YES,10,5,15,-1,590,1.50,-0.94,"72g 2026"
"Daniss Jenkins",DET,PG,"Average defender","",,10,5,15,0,580,-1.15,-0.10,"82g 2026"
"Reed Sheppard",HOU,SG,"Average defender","above average offense",YES,12,3,15,0,570,0.22,0.07,"82g 2026"
"Tobias Harris",SAS,PF,"Average defender","above average offense",YES,4,11,15,0,560,0.48,0.16,"5g 2025 + 77g 2026"
"Mark Williams",PHX,C,"Average defender","above average offense",YES,3,12,15,0,560,0.39,-0.45,"22g 2025 + 60g 2026"
"Jay Huff",IND,C,"Average defender","",,5,10,15,-1,560,-0.90,-0.73,"82g 2026"
"Andrew Nembhard",IND,PG,"Average defender","above average offense",YES,12,3,15,-1,550,0.42,-0.29,"25g 2025 + 57g 2026"
"Nae'Qwan Tomlin",CLE,PF,"Average defender","",,7,8,15,0,540,-1.58,0.32,"5g 2025 + 68g 2026"
"Andre Drummond",NYK,C,"Average defender","",,5,10,15,0,520,-1.49,0.06,"8g 2025 + 74g 2026"
"Javon Small",MEM,PG,"Average defender","above average offense",YES,12,3,15,0,510,0.72,-0.44,"39g 2026"
"Royce O'Neale",CHA,SF,"Average defender","",,8,7,15,-1,470,-0.85,-0.65,"82g 2026"
"Kobe Sanders",LAC,SG,"Average defender","",,9,6,15,1,460,-1.87,0.56,"67g 2026"
"Jamaree Bouyea",PHX,PG,"Good defender","",,10,5,15,1,450,-2.32,0.82,"4g 2025 + 45g 2026"
"Sam Merrill",CLE,SG,"Average defender","very good offense",YES,11,4,15,-1,440,1.56,-0.78,"13g 2025 + 69g 2026"
"Sam Hauser",BOS,PF,"Average defender","above average offense",YES,4,11,15,0,410,0.93,-0.07,"82g 2026"
"Aaron Wiggins",ATL,SG,"Average defender","",,8,7,15,1,400,-1.75,0.62,"8g 2025 + 74g 2026"
"Draymond Green",GSW,PF,"Good defender","",,7,8,15,0,390,-1.86,0.76,"14g 2025 + 68g 2026"
"Rasheer Fleming",PHX,PF,"Average defender","",,6,9,15,0,390,-1.78,0.44,"54g 2026"
"Jake LaRavia",LAL,PF,"Average defender","",,7,8,15,0,310,-1.29,-0.00,"82g 2026"
"Kris Murray",MEM,SF,"Good defender","",,8,7,15,1,270,-2.72,1.02,"22g 2025 + 60g 2026"
"Sion James",CHA,SG,"Average defender","",,9,6,15,1,270,-2.22,0.61,"82g 2026"
"Jaylen Clark",MIN,SG,"Good defender","",,9,6,15,1,260,-2.23,1.05,"9g 2025 + 73g 2026"
"Jamal Cain",ORL,SF,"Average defender","",,9,6,15,0,260,-1.51,-0.80,"36g 2025 + 44g 2026"
"Mike Conley",BOS,PG,"Average defender","",,10,5,15,0,230,-0.77,-0.10,"17g 2025 + 65g 2026"
"Collin Sexton",LAL,SG,"Average defender","above average offense",YES,11,3,14,0,870,0.48,-0.57,"14g 2025 + 68g 2026"
"Jaden Hardy",LAL,SG,"Bad defender","",,9,5,14,-2,780,-0.98,-1.37,"26g 2025 + 56g 2026"
"Cooper Flagg",DAL,SF,"Average defender","above average offense",YES,4,10,14,0,700,0.02,-0.09,"70g 2026"
"Anfernee Simons",PHI,SG,"Bad defender","above average offense",YES,11,3,14,-1,680,1.05,-1.29,"27g 2025 + 55g 2026"
"Thomas Bryant",CLE,C,"Average defender","above average offense",YES,3,11,14,0,630,0.06,-0.35,"17g 2025 + 65g 2026"
"Simone Fontecchio",MIA,SF,"Average defender","above average offense",YES,4,10,14,0,620,0.27,-0.51,"14g 2025 + 68g 2026"
"Ayo Dosunmu",MIN,SG,"Average defender","above average offense",YES,11,3,14,0,610,0.30,-0.39,"3g 2025 + 79g 2026"
"Jock Landale",ATL,C,"Bad defender","above average offense",YES,3,11,14,-1,590,0.64,-1.46,"14g 2025 + 68g 2026"
"Naz Reid",CHA,C,"Average defender","above average offense",YES,3,11,14,1,580,-0.65,0.54,"82g 2026"
"Andrew Wiggins",MIA,SF,"Average defender","above average offense",YES,10,4,14,0,570,0.22,0.18,"14g 2025 + 68g 2026"
"Santi Aldama",DAL,PF,"Average defender","above average offense",YES,4,10,14,0,570,0.48,-0.02,"39g 2025 + 43g 2026"
"Jordan Miller",LAC,SF,"Bad defender","",,8,6,14,-1,560,-1.36,-1.21,"23g 2025 + 59g 2026"
"Jordan Clarkson",NYK,SG,"Average defender","",,8,6,14,-1,560,-1.05,-0.72,"82g 2026"
