name,team,salary,defBoost,chart$,chartNeutral$,chartBonus$,conv$,target$,defence$
"Dillon Brooks",PHX,830,0,212,124,88,-53,-13,87
"Donte DiVincenzo",MIN,680,1,-128,-175,47,29,49,129
"Brandon Miller",CHA,1140,1,236,62,175,49,49,207
"Jaren Jackson Jr.",UTA,860,2,219,99,120,-35,-13,87
"RJ Barrett",TOR,940,-1,217,112,106,20,-13,116
"Andrew Wiggins",MIA,720,0,4,24,-20,29,49,42
"Josh Hart",NYK,550,1,-188,-200,12,36,-13,112
"Ivica Zubac",IND,640,0,32,-13,45,39,-13,-20
"Franz Wagner",ORL,1100,1,292,112,181,23,-13,201
"Bennedict Mathurin",LAC,490,-1,-34,49,-83,-6,-13,-60
"Stephon Castle",SAS,860,1,81,-38,119,28,-13,165
"Darius Garland",LAC,900,-1,201,62,139,-6,49,53
"CJ McCollum",ATL,820,0,178,62,116,-1,-13,50
"Anthony Black",ORL,590,1,-20,-26,5,-8,-13,30
"Zion Williamson",NOP,810,0,136,12,124,14,-13,74
"Jerami Grant",MEM,660,-1,53,49,4,-57,49,15
"Domantas Sabonis",SAC,960,0,167,-13,180,127,-13,82
"Aaron Nesmith",IND,520,0,-2,37,-39,-52,-13,-10
"Norman Powell",CHI,920,0,210,87,124,-32,49,94
"Peyton Watson",CLE,710,0,114,87,27,-31,-13,41
"Naji Marshall",DAL,710,0,101,99,2,8,-13,15
"Shaedon Sharpe",POR,650,-1,130,161,-32,-13,-13,-59
"Jrue Holiday",POR,880,1,130,24,105,33,-13,128
"Quentin Grimes",LAL,430,0,-104,-38,-66,-15,-13,-39
"Wendell Carter Jr.",ORL,450,1,-139,-163,23,-17,-13,23
"Victor Wembanyama",SAS,1410,5,518,112,406,76,-13,231
"Matas Buzelis",CHI,640,0,84,62,23,-35,-13,1
"Max Christie",DAL,390,0,-136,-88,-48,-60,49,-59
"A.J. Green",MIL,330,-2,-201,-150,-51,-55,49,-59
"Russell Westbrook",SAC,590,-1,7,37,-30,19,-13,-23
"Kyshawn George",WAS,670,0,81,99,-18,16,-13,-16
"Giannis Antetokounmpo",MIA,1560,1,617,186,431,116,-13,237
"Chet Holmgren",OKC,940,3,123,-26,149,10,-13,219
"Grayson Allen",CHA,860,0,173,49,124,0,-13,94
"Davion Mitchell",MIA,420,0,-211,-188,-23,1,-13,43
"Ja Morant",POR,1200,1,491,224,267,35,-13,85
"Brandin Podziemski",GSW,750,1,89,49,39,6,-13,64
"Collin Gillespie",PHX,650,0,-111,-163,51,61,49,55
"Marcus Smart",HOU,590,2,-105,-125,20,-1,-13,109
"Jalen Williams",OKC,1090,1,261,87,175,35,-13,207
"Nikola Vučević",ORL,680,0,66,12,54,50,-13,-20
"Royce O'Neale",CHA,350,-1,-248,-163,-85,10,49,-60
"Herbert Jones",NOP,350,1,-245,-200,-45,-11,-13,17
"Jaime Jaquez Jr.",MIL,580,-1,48,124,-76,11,-13,-65
"Rui Hachimura",LAC,420,-1,-101,-26,-76,-62,49,-65
"Jalen Duren",DET,840,1,107,-26,133,32,-13,109
"LaMelo Ball",MIN,1150,0,344,37,308,61,-13,155
"Aaron Gordon",DEN,760,0,-2,-100,98,41,49,74
"Santi Aldama",DAL,630,0,22,24,-2,14,-13,2
"Dejounte Murray",NOP,790,1,129,62,67,40,-13,36
"Nic Claxton",CHI,570,0,-12,-1,-11,29,-13,-36
"Tobias Harris",SAS,760,0,145,74,71,-23,-13,53
"Bub Carrington",WAS,240,-3,-183,24,-207,-14,49,-215
"Ace Bailey",UTA,390,-1,-21,149,-170,-50,-13,-131
"Jalen Suggs",ORL,720,2,-23,-63,40,7,-13,148
"Julian Champagnie",SAS,580,0,-147,-150,3,-43,49,119
"Draymond Green",GSW,250,0,-257,-175,-82,-13,-13,-65
"Duncan Robinson",DET,580,-1,-138,-150,12,-45,49,116
"Ayo Dosunmu",MIN,710,0,49,49,-0,17,49,-9
"Alex Sarr",WAS,710,0,104,99,5,42,1,-36
"Deandre Ayton",WAS,530,0,5,-13,18,1,-13,-69
"Donovan Clingan",POR,830,1,97,-26,123,84,-13,66
"Kris Dunn",LAC,350,1,-266,-225,-41,1,-13,30
"Jarrett Allen",CLE,770,1,81,-26,107,-4,-13,108
"John Collins",DET,620,0,104,99,5,-40,-13,-36
"Tre Jones",CHI,740,-1,141,74,67,9,-13,-2
"Noah Clowney",BKN,420,-1,-44,49,-94,-31,-13,-97
"Derrick Jones Jr.",LAC,600,1,-54,-38,-16,-54,-13,123
"Jaylon Tyson",CLE,790,0,65,62,3,33,49,41
"Myles Turner",MIL,550,0,22,37,-15,-49,49,-68
"Isaac Okoro",CHI,360,-1,-106,-26,-80,-58,-13,-60
"Luguentz Dort",ATL,230,0,-261,-188,-73,-61,-13,-36
"Tim Hardaway Jr.",MIA,490,-2,-56,-1,-56,-61,49,-39
"Cason Wallace",OKC,560,3,-190,-200,10,2,-13,162
"Sam Merrill",CLE,610,-1,-58,-38,-20,-50,49,64
"Maxime Raynaud",SAC,360,-2,-39,74,-113,-25,-13,-166
"Jaylen Wells",MEM,600,-1,71,99,-28,-48,-13,-10
"Pelle Larsson",MIA,620,0,-7,-13,6,-7,-13,41
"Jusuf Nurkić",UTA,670,1,22,12,10,80,-13,-22
"Miles McBride",NYK,570,0,-155,-175,20,25,49,50
"Reed Sheppard",HOU,810,0,121,87,34,37,49,-2
"Kyle Kuzma",MIL,560,0,13,74,-61,-1,-13,-36
"Bilal Coulibaly",WAS,610,1,7,37,-30,1,-13,17
"De'Andre Hunter",SAC,530,-1,62,174,-112,-34,-13,-84
"Naz Reid",CHA,620,1,37,12,25,-23,-13,14
"Ausar Thompson",DET,840,4,-40,-38,-2,58,-13,230
"Moussa Diabaté",CHA,510,1,-270,-237,-33,95,-13,101
"Jalen Green",PHX,700,-1,114,37,77,2,-13,-2
"Jeremiah Fears",NOP,480,-1,21,149,-128,-13,-13,-118
"Cedric Coward",MEM,770,0,126,49,76,11,-13,42
"Zach Edey",MEM,680,0,106,-13,119,54,-13,-64
"Ajay Mitchell",OKC,870,2,88,-26,113,11,-13,180
"Tari Eason",HOU,630,1,-4,12,-15,-25,-13,69
"Harrison Barnes",SAS,300,-1,-210,-163,-48,-59,-13,-16
"Moses Moody",GSW,900,2,107,37,70,-39,49,181
"Isaiah Collier",UTA,310,-2,-90,112,-201,-10,-13,-175
"Jarace Walker",IND,300,-1,-92,112,-203,-23,-13,-173
"Trae Young",WAS,810,-2,172,-13,185,-1,-13,55
"Neemias Queta",BOS,800,2,-2,-38,36,79,-13,130
"Egor Dëmin",BKN,470,-1,-152,-100,-51,36,49,-59
"Nique Clifford",SAC,300,0,-133,-1,-133,-19,-13,-132
"Jake LaRavia",LAL,220,0,-257,-175,-82,-47,-13,-65
"Coby White",CHA,950,-1,289,137,152,19,-13,50
"Derik Queen",NOP,380,-1,-79,62,-141,15,-13,-143
"Jakob Poeltl",TOR,620,0,-22,-38,16,69,-13,-16
"Anfernee Simons",PHI,830,-1,171,149,22,17,49,-9
"Sam Hauser",BOS,490,0,-162,-163,1,-47,49,53
"Tristan Da Silva",ORL,400,0,-98,-38,-60,-54,-13,-36
"Bruce Brown",DEN,220,0,-167,-1,-166,-28,-13,-175
"Cody Williams",MIN,210,-2,-149,74,-223,-37,-13,-193
"Terance Mann",BKN,200,-1,-283,-188,-95,-18,-13,-87
"Bobby Portis",MIA,640,-2,79,174,-95,4,49,-97
"Dennis Schröder",CHA,370,-1,-83,37,-120,-13,-13,-118
"Isaiah Hartenstein",OKC,860,3,-2,-38,36,127,-13,148
"Tre Johnson",WAS,430,-2,4,174,-170,-27,-13,-132
"Precious Achiuwa",SAC,590,0,10,12,-2,-9,-13,2
"Cam Spencer",MEM,630,-1,-81,-88,7,59,49,-2
"Dominick Barlow",PHI,300,1,-229,-163,-66,-52,-13,-5
"Collin Sexton",LAL,780,0,123,99,24,17,49,-9
"Mark Williams",PHX,650,0,44,-1,45,39,-13,-20
"Brice Sensabaugh",UTA,590,-2,111,224,-112,-20,-13,-84
"Kyle Filipowski",UTA,620,-1,63,112,-49,59,-13,-85
"Kris Murray",MEM,180,1,-335,-250,-85,-59,-13,-17
"Keldon Johnson",SAS,640,0,77,74,3,-44,-13,15
"Svi Mykhailiuk",UTA,610,-1,-62,-38,-24,15,49,12
"De'Anthony Melton",GSW,710,1,86,62,24,7,-13,30
"Landry Shamet",NYK,290,0,-213,-163,-51,-120,49,-23
"Ziaire Williams",LAL,540,1,3,62,-59,-53,-13,3
"Khris Middleton",WAS,390,-1,-56,99,-155,-13,-13,-131
"Isaiah Stewart",MEM,460,1,-102,-113,11,-36,-13,14
"Ty Jerome",MEM,1300,0,425,161,264,70,49,151
"Dylan Harper",SAS,770,1,64,12,52,10,-13,112
"Jamal Shead",TOR,270,1,-246,-200,-46,-67,-13,-10
"Jordan Goodwin",PHX,560,2,-142,-163,20,8,-13,109
"Sion James",CHA,280,1,-268,-188,-80,-15,-13,-29
"Kevin Huerter",DET,570,0,-58,-26,-33,13,1,12
"Zaccharie Risacher",DAL,370,-1,-77,24,-102,-57,-13,-84
"Dean Wade",PHI,280,1,-304,-237,-66,-39,-13,39
"Brandon Williams",GSW,500,-1,-9,62,-70,-7,-13,-72
"Nolan Traoré",BKN,140,-2,-177,87,-263,-42,-13,-231
"Kel'el Ware",MIL,680,0,66,-1,66,40,-13,-16
"Jock Landale",ATL,560,-1,17,-1,17,23,-13,-69
"Will Riley",WAS,240,-3,-116,174,-289,-32,1,-213
"Jordan Miller",LAC,410,-1,-77,24,-102,-13,-13,-87
"Spencer Jones",DEN,110,0,-326,-237,-89,-63,-13,-84
"Malik Monk",SAC,630,-2,66,149,-83,18,49,-107
"Oso Ighodaro",PHX,590,1,-77,-38,-39,64,-13,14
"Sandro Mamukelashvili",LAL,800,1,72,-1,72,38,-13,101
"Collin Murray-Boyles",TOR,670,1,-3,-38,35,36,-13,49
"Aaron Wiggins",ATL,450,1,-73,12,-85,-48,-13,-17
"Brook Lopez",LAC,630,2,34,-1,35,-40,-13,52
"Klay Thompson",MIA,630,0,64,124,-60,-46,49,-39
"Daniel Gafford",DAL,530,-1,-8,12,-20,29,-13,-75
"Luke Kennard",PHX,390,-1,-106,-38,-68,-16,-13,-72
"Al Horford",GSW,460,0,-96,-63,-33,-0,-13,-36
"GG Jackson II",MEM,550,-1,60,137,-76,-35,-13,-65
"Vít Krejčí",POR,310,-1,-250,-163,-87,2,49,-87
"Ryan Kalkbrenner",CHA,400,0,-96,-38,-58,-15,-13,-74
"Ben Sheppard",IND,150,-1,-279,-150,-129,-22,-13,-132
"Kentavious Caldwell-Pope",PHI,330,-1,-99,49,-148,-27,-13,-132
"Isaiah Joe",DET,730,0,121,62,59,-41,49,2
"Gary Trent Jr.",MIL,240,-2,-63,137,-199,-109,-13,-175
"Cam Thomas",2TM,390,-3,4,236,-233,-25,-13,-175
"Jay Huff",IND,530,-1,12,37,-25,23,15,-116
"Bryce McGowens",NOP,300,-1,-139,-38,-101,-62,-13,-87
"Luke Kornet",SAS,360,0,-171,-138,-34,-28,-13,-25
"Drake Powell",BKN,100,-1,-198,-1,-198,-73,-13,-215
"Danny Wolf",BKN,430,0,-67,24,-92,11,-13,-97
"Ben Saraf",BKN,80,-1,-209,74,-283,-52,-13,-250
"Caleb Love",PHI,390,-2,-11,174,-185,-21,-13,-162
"Jalen Smith",CHI,700,0,68,-1,68,18,-13,30
"Jamir Watkins",WAS,520,1,-43,24,-67,-37,1,3
"Dylan Cardwell",SAC,310,1,-299,-237,-61,52,-13,-29
"Gui Santos",GSW,650,0,34,49,-16,14,-13,15
"Vince Williams Jr.",2TM,520,1,-54,-1,-54,3,-13,-17
"Ja'Kobe Walter",TOR,460,1,-139,-113,-27,-45,49,-10
"Patrick Williams",CHI,100,0,-200,-1,-199,-71,-13,-213
"Keon Ellis",BKN,210,0,-254,-175,-79,-43,15,-107
"Walter Clayton",MEM,220,-2,-162,37,-199,-28,-13,-175
"Javon Small",MEM,710,0,22,-13,35,39,49,-2
"Daniss Jenkins",DET,490,0,1,49,-48,-2,-13,-100
"Marvin Bagley III",DEN,530,-1,-8,12,-20,29,-13,-75
"Justin Champagnie",WAS,510,-1,-23,37,-60,-17,-13,-36
"Will Richard",GSW,180,0,-283,-188,-95,-53,1,-87
"Ron Holland",DET,600,3,-28,-1,-27,-43,-13,85
"Jose Alvarado",NYK,620,1,21,24,-3,15,-13,-6
"Kobe Sanders",LAC,570,1,-54,24,-78,6,49,-29
"John Konchar",2TM,220,1,-313,-225,-88,-16,-13,-43
"Kyle Anderson",TOR,210,0,-221,-100,-120,-25,-13,-131
"Yves Missi",NOP,460,1,-96,-38,-58,1,-13,-29
"Jericho Sims",MIL,230,-2,-182,-38,-144,42,-13,-215
"Jaylin Williams",OKC,520,2,-167,-163,-4,19,-13,84
"Mitchell Robinson",BOS,720,2,-30,-38,8,83,-13,83
"Ryan Nembhard",ATL,370,-1,-105,-26,-79,-6,-13,-107
"Andre Drummond",NYK,250,0,-287,-237,-50,66,-13,-116
"Ryan Dunn",PHX,340,1,-271,-213,-58,1,-13,24
"Micah Potter",POR,630,-1,29,12,17,24,49,-69
"Ousmane Dieng",MIL,250,-2,-119,99,-218,-25,-13,-198
"Caris LeVert",MIL,350,0,-108,12,-120,-24,-13,-107
"Sidy Cissoko",POR,120,0,-305,-188,-118,-27,-13,-132
"Taylor Hendricks",MEM,320,0,-91,24,-115,-59,-13,-113
"Day'Ron Sharpe",BKN,870,1,119,-1,120,106,-13,61
"Olivier-Maxence Prosper",MEM,650,-1,93,74,19,-32,-13,1
"Corey Kispert",ATL,490,-2,32,174,-142,-24,-13,-107
"Pat Spencer",PHX,340,-2,-112,24,-136,-8,-13,-132
"Baylor Scheierman",BOS,460,1,-216,-163,-53,10,49,17
"Mike Conley",BOS,230,0,-243,-175,-68,-10,-13,-100
"Quenton Jackson",IND,550,0,21,62,-41,-4,-13,-59
"Jaxson Hayes",UTA,320,0,-157,-125,-31,-32,-13,-74
"Alex Caruso",OKC,800,3,34,12,23,4,-13,173
"Craig Porter Jr.",CLE,250,0,-274,-213,-62,-2,-13,-59
"Jordan Clarkson",NYK,450,-1,-31,74,-105,-20,-13,-87
"Kasparas Jakučionis",MIL,440,0,-201,-150,-51,18,49,-23
"Jordan Walsh",BOS,370,1,-244,-213,-31,-41,-13,69
"Javonte Green",DET,520,2,-128,-125,-3,-48,-13,104
"Nicolas Batum",LAC,120,-1,-337,-237,-99,-48,49,-143
"Adem Bona",PHI,210,0,-217,-150,-67,-40,-13,-122
"Josh Okogie",UTA,340,1,-234,-175,-58,-36,-13,17
"Jarred Vanderbilt",LAL,130,0,-326,-213,-113,-2,-13,-131
"Jared McCain",OKC,530,-1,46,174,-128,-51,49,-118
"Quinten Post",MEM,750,0,160,112,48,27,-13,-25
"Anthony Gill",WAS,200,-2,-176,-38,-138,-28,-13,-185
"T.J. McConnell",IND,790,0,138,24,113,66,-13,2
"Nikola Jović",MIA,470,1,-17,87,-103,-21,-13,-84
"Sharife Cooper",WAS,310,-2,-91,74,-166,-21,-13,-162
"Robert Williams",POR,810,2,31,-38,69,102,-13,87
"Josh Minott",BKN,800,1,80,12,68,-45,49,115
"Tyrese Martin",PHI,320,-1,-123,12,-135,-16,-13,-132
"Simone Fontecchio",MIA,740,0,61,37,25,24,49,1
"Rayan Rupert",PHI,40,-1,-218,24,-243,-77,-13,-250
"Bones Hyland",MIN,820,0,131,62,69,37,49,-2
"Gabe Vincent",ATL,140,-1,-245,-125,-120,-71,-13,-132
"Isaiah Jackson",LAC,410,-1,-108,-38,-70,27,-13,-97
"Jevon Carter",ORL,190,-1,-227,-125,-102,-24,-13,-151
"Trendon Watford",NOP,180,-2,-155,74,-230,-28,-13,-224
"Dru Smith",MIA,540,2,-106,-88,-18,-6,-13,63
"Luka Garza",BOS,680,-1,95,-1,96,14,-13,-20
"Buddy Hield",ATL,600,-1,78,161,-83,-6,-13,-60
"Jalen Pickett",LAC,220,-1,-248,-175,-73,-11,-13,-107
"Jalen Wilson",ATL,170,-2,-194,24,-218,-30,-13,-198
"Jaden Hardy",LAL,610,-2,66,149,-83,4,49,-107
"Kobe Brown",IND,290,-2,-134,-13,-121,-20,-13,-143
"Nae'Qwan Tomlin",CLE,380,0,-93,-26,-67,-54,-13,-65
"Pete Nance",MIL,310,-1,-252,-163,-90,9,49,-97
"Ochai Agbaji",2TM,230,0,-143,12,-155,-64,-13,-152
"Josh Green",UTA,330,0,-202,-138,-64,-60,49,-59
"Leonard Miller",CHI,570,-1,22,74,-52,-2,-13,-36
"Gary Payton II",GSW,710,1,41,-1,42,8,-13,76
"Kenrich Williams",OKC,460,-1,-31,62,-93,3,-13,-97
"Justin Edwards",PHI,360,-1,-96,24,-120,-24,-13,-107
"Mouhamed Gueye",ATL,400,1,-179,-113,-66,-5,-13,-6
"Goga Bitadze",ORL,660,1,-33,-38,5,91,-13,18
"Julian Strawther",DEN,410,-1,-43,62,-105,-44,-13,-87
"Guerschon Yabusele",2TM,360,-1,-51,49,-101,-44,-13,-132
"Micah Peavy",NOP,50,0,-317,-175,-142,-73,-13,-151
"Rob Dillingham",CHI,100,-1,-193,87,-280,-44,-13,-252
"Caleb Martin",DAL,230,1,-245,-125,-120,-28,-13,-88
"Karlo Matković",NOP,530,0,-28,12,-40,19,-13,-49
"Nick Richards",MIA,110,-3,-202,87,-289,-17,-13,-259
"Hugo González",BOS,310,1,-272,-200,-72,-19,1,3
"Tyus Jones",DEN,30,-2,-307,-138,-169,-38,-13,-215
"Dwight Powell",DAL,400,0,-180,-125,-55,70,-13,-74
"Gradey Dick",TOR,350,0,-54,99,-153,-54,-13,-132
"Jamaree Bouyea",PHX,570,1,1,49,-48,25,1,-56
"Paul Reed",DET,1340,2,443,211,232,149,-13,164
"Gary Harris",DET,40,-1,-320,-163,-157,-37,-13,-193
"Tristan Vukcevic",WAS,810,-1,296,286,10,3,-13,-75
"Aaron Holiday",HOU,490,0,-55,24,-80,4,49,-107
"Jordan Hawkins",NOP,60,-2,-193,87,-280,-84,-13,-252
"Jonas Valančiūnas",DEN,1090,-1,428,311,117,142,-13,-66
"Drew Eubanks",SAC,180,-1,-154,24,-178,-38,-13,-215
"Jaylen Clark",MIN,360,1,-140,-63,-77,-59,-13,-29
"Noah Penda",ORL,230,-1,-205,-50,-155,2,-13,-151
"Jett Howard",DAL,360,-2,-68,62,-129,-51,-13,-107
"Tre Mann",WAS,170,-2,-135,161,-296,-48,-13,-231
"Terrence Shannon Jr.",MIN,510,-1,55,199,-144,-24,-13,-107
"Clint Capela",HOU,750,3,-21,-38,17,75,-13,109
"Thomas Bryant",CLE,630,0,65,12,54,1,-13,-25
"Jamal Cain",ORL,430,0,-28,37,-65,-58,-13,-72
"Rasheer Fleming",PHX,400,0,-54,12,-65,-53,-13,-85
"Zeke Nnaji",DEN,310,1,-138,-38,-100,-57,-13,-84
"Tyrese Haliburton",IND,1220,0,310,49,261,101,49,155
"Kyrie Irving",DAL,1110,-1,279,49,229,31,49,154
"Damian Lillard",POR,1150,-1,330,87,244,60,49,106
"Fred VanVleet",HOU,660,1,-74,-150,76,14,-13,132
