name,team,salary,defBoost,chart$,conv$,target$,defence$
"Ausar Thompson",DET,840,4,-40,58,-13,230
"Moussa Diabaté",CHA,510,1,-270,95,-13,101
"Jalen Green",PHX,700,-1,114,2,-13,-2
"Jeremiah Fears",NOP,480,-1,21,-13,-13,-118
"Cedric Coward",MEM,770,0,126,11,-13,42
"Zach Edey",MEM,680,0,106,54,-13,-64
"Ajay Mitchell",OKC,870,2,88,11,-13,180
"Tari Eason",HOU,630,1,-4,-25,-13,69
"Harrison Barnes",SAS,300,-1,-210,-59,-13,-16
"Moses Moody",GSW,900,2,107,-39,49,181
"Isaiah Collier",UTA,310,-2,-90,-10,-13,-175
"Jarace Walker",IND,300,-1,-92,-23,-13,-173
"Trae Young",WAS,810,-2,172,-1,-13,55
"Neemias Queta",BOS,800,2,-2,79,-13,130
"Egor Dëmin",BKN,470,-1,-152,36,49,-59
"Nique Clifford",SAC,300,0,-133,-19,-13,-132
"Jake LaRavia",LAL,220,0,-257,-47,-13,-65
"Coby White",CHA,950,-1,289,19,-13,50
"Derik Queen",NOP,380,-1,-79,15,-13,-143
"Jakob Poeltl",TOR,620,0,-22,69,-13,-16
"Anfernee Simons",PHI,830,-1,171,17,49,-9
"Sam Hauser",BOS,490,0,-162,-47,49,53
"Tristan Da Silva",ORL,400,0,-98,-54,-13,-36
"Bruce Brown",DEN,220,0,-167,-28,-13,-175
"Cody Williams",MIN,210,-2,-149,-37,-13,-193
"Terance Mann",BKN,200,-1,-283,-18,-13,-87
"Bobby Portis",MIA,640,-2,79,4,49,-97
"Dennis Schröder",CHA,370,-1,-83,-13,-13,-118
"Isaiah Hartenstein",OKC,860,3,-2,127,-13,148
"Tre Johnson",WAS,430,-2,4,-27,-13,-132
"Precious Achiuwa",SAC,590,0,10,-9,-13,2
"Cam Spencer",MEM,630,-1,-81,59,49,-2
"Dominick Barlow",PHI,300,1,-229,-52,-13,-5
"Collin Sexton",LAL,780,0,123,17,49,-9
"Mark Williams",PHX,650,0,44,39,-13,-20
"Brice Sensabaugh",UTA,590,-2,111,-20,-13,-84
"Kyle Filipowski",UTA,620,-1,63,59,-13,-85
"Kris Murray",MEM,180,1,-335,-59,-13,-17
"Keldon Johnson",SAS,640,0,77,-44,-13,15
"Svi Mykhailiuk",UTA,610,-1,-62,15,49,12
"De'Anthony Melton",GSW,710,1,86,7,-13,30
"Landry Shamet",NYK,290,0,-213,-120,49,-23
"Ziaire Williams",LAL,540,1,3,-53,-13,3
"Khris Middleton",WAS,390,-1,-56,-13,-13,-131
"Isaiah Stewart",MEM,460,1,-102,-36,-13,14
"Ty Jerome",MEM,1300,0,425,70,49,151
"Dylan Harper",SAS,770,1,64,10,-13,112
"Jamal Shead",TOR,270,1,-246,-67,-13,-10
"Jordan Goodwin",PHX,560,2,-142,8,-13,109
"Sion James",CHA,280,1,-268,-15,-13,-29
"Kevin Huerter",DET,570,0,-58,13,1,12
"Zaccharie Risacher",DAL,370,-1,-77,-57,-13,-84
"Dean Wade",PHI,280,1,-304,-39,-13,39
"Brandon Williams",GSW,500,-1,-9,-7,-13,-72
"Nolan Traoré",BKN,140,-2,-177,-42,-13,-231
"Kel'el Ware",MIL,680,0,66,40,-13,-16
"Jock Landale",ATL,560,-1,17,23,-13,-69
"Will Riley",WAS,240,-3,-116,-32,1,-213
"Jordan Miller",LAC,410,-1,-77,-13,-13,-87
"Spencer Jones",DEN,110,0,-326,-63,-13,-84
"Malik Monk",SAC,630,-2,66,18,49,-107
"Oso Ighodaro",PHX,590,1,-77,64,-13,14
"Sandro Mamukelashvili",LAL,800,1,72,38,-13,101
"Collin Murray-Boyles",TOR,670,1,-3,36,-13,49
"Aaron Wiggins",ATL,450,1,-73,-48,-13,-17
"Brook Lopez",LAC,630,2,34,-40,-13,52
"Klay Thompson",MIA,630,0,64,-46,49,-39
"Daniel Gafford",DAL,530,-1,-8,29,-13,-75
"Luke Kennard",PHX,390,-1,-106,-16,-13,-72
"Al Horford",GSW,460,0,-96,-0,-13,-36
"GG Jackson II",MEM,550,-1,60,-35,-13,-65
"Vít Krejčí",POR,310,-1,-250,2,49,-87
"Ryan Kalkbrenner",CHA,400,0,-96,-15,-13,-74
"Ben Sheppard",IND,150,-1,-279,-22,-13,-132
"Kentavious Caldwell-Pope",PHI,330,-1,-99,-27,-13,-132
"Isaiah Joe",DET,730,0,121,-41,49,2
"Gary Trent Jr.",MIL,240,-2,-63,-109,-13,-175
"Cam Thomas",2TM,390,-3,4,-25,-13,-175
"Jay Huff",IND,530,-1,12,23,15,-116
"Bryce McGowens",NOP,300,-1,-139,-62,-13,-87
"Luke Kornet",SAS,360,0,-171,-28,-13,-25
"Drake Powell",BKN,100,-1,-198,-73,-13,-215
"Danny Wolf",BKN,430,0,-67,11,-13,-97
"Ben Saraf",BKN,80,-1,-209,-52,-13,-250
"Caleb Love",PHI,390,-2,-11,-21,-13,-162
"Jalen Smith",CHI,700,0,68,18,-13,30
"Jamir Watkins",WAS,520,1,-43,-37,1,3
"Dylan Cardwell",SAC,310,1,-299,52,-13,-29
"Gui Santos",GSW,650,0,34,14,-13,15
"Vince Williams Jr.",2TM,520,1,-54,3,-13,-17
"Ja'Kobe Walter",TOR,460,1,-139,-45,49,-10
"Patrick Williams",CHI,100,0,-200,-71,-13,-213
"Keon Ellis",BKN,210,0,-254,-43,15,-107
"Walter Clayton",MEM,220,-2,-162,-28,-13,-175
"Javon Small",MEM,710,0,22,39,49,-2
"Daniss Jenkins",DET,490,0,1,-2,-13,-100
"Marvin Bagley III",DEN,530,-1,-8,29,-13,-75
"Justin Champagnie",WAS,510,-1,-23,-17,-13,-36
"Will Richard",GSW,180,0,-283,-53,1,-87
"Ron Holland",DET,600,3,-28,-43,-13,85
"Jose Alvarado",NYK,620,1,21,15,-13,-6
"Kobe Sanders",LAC,570,1,-54,6,49,-29
"John Konchar",2TM,220,1,-313,-16,-13,-43
"Kyle Anderson",TOR,210,0,-221,-25,-13,-131
"Yves Missi",NOP,460,1,-96,1,-13,-29
"Jericho Sims",MIL,230,-2,-182,42,-13,-215
"Jaylin Williams",OKC,520,2,-167,19,-13,84
"Mitchell Robinson",BOS,720,2,-30,83,-13,83
"Ryan Nembhard",ATL,370,-1,-105,-6,-13,-107
"Andre Drummond",NYK,250,0,-287,66,-13,-116
"Ryan Dunn",PHX,340,1,-271,1,-13,24
"Micah Potter",POR,630,-1,29,24,49,-69
"Ousmane Dieng",MIL,250,-2,-119,-25,-13,-198
"Caris LeVert",MIL,350,0,-108,-24,-13,-107
"Sidy Cissoko",POR,120,0,-305,-27,-13,-132
"Taylor Hendricks",MEM,320,0,-91,-59,-13,-113
"Day'Ron Sharpe",BKN,870,1,119,106,-13,61
"Olivier-Maxence Prosper",MEM,650,-1,93,-32,-13,1
"Corey Kispert",ATL,490,-2,32,-24,-13,-107
"Pat Spencer",PHX,340,-2,-112,-8,-13,-132
"Baylor Scheierman",BOS,460,1,-216,10,49,17
"Mike Conley",BOS,230,0,-243,-10,-13,-100
"Quenton Jackson",IND,550,0,21,-4,-13,-59
"Jaxson Hayes",UTA,320,0,-157,-32,-13,-74
"Alex Caruso",OKC,800,3,34,4,-13,173
"Craig Porter Jr.",CLE,250,0,-274,-2,-13,-59
"Jordan Clarkson",NYK,450,-1,-31,-20,-13,-87
"Kasparas Jakučionis",MIL,440,0,-201,18,49,-23
"Jordan Walsh",BOS,370,1,-244,-41,-13,69
"Javonte Green",DET,520,2,-128,-48,-13,104
"Nicolas Batum",LAC,120,-1,-337,-48,49,-143
"Adem Bona",PHI,210,0,-217,-40,-13,-122
"Josh Okogie",UTA,340,1,-234,-36,-13,17
"Jarred Vanderbilt",LAL,130,0,-326,-2,-13,-131
"Jared McCain",OKC,530,-1,46,-51,49,-118
"Quinten Post",MEM,750,0,160,27,-13,-25
"Anthony Gill",WAS,200,-2,-176,-28,-13,-185
"T.J. McConnell",IND,790,0,138,66,-13,2
"Nikola Jović",MIA,470,1,-17,-21,-13,-84
"Sharife Cooper",WAS,310,-2,-91,-21,-13,-162
"Robert Williams",POR,810,2,31,102,-13,87
"Josh Minott",BKN,800,1,80,-45,49,115
"Tyrese Martin",PHI,320,-1,-123,-16,-13,-132
"Simone Fontecchio",MIA,740,0,61,24,49,1
"Rayan Rupert",PHI,40,-1,-218,-77,-13,-250
"Bones Hyland",MIN,820,0,131,37,49,-2
"Gabe Vincent",ATL,140,-1,-245,-71,-13,-132
"Isaiah Jackson",LAC,410,-1,-108,27,-13,-97
"Jevon Carter",ORL,190,-1,-227,-24,-13,-151
"Trendon Watford",NOP,180,-2,-155,-28,-13,-224
"Dru Smith",MIA,540,2,-106,-6,-13,63
"Luka Garza",BOS,680,-1,95,14,-13,-20
"Buddy Hield",ATL,600,-1,78,-6,-13,-60
"Jalen Pickett",LAC,220,-1,-248,-11,-13,-107
"Jalen Wilson",ATL,170,-2,-194,-30,-13,-198
"Jaden Hardy",LAL,610,-2,66,4,49,-107
"Kobe Brown",IND,290,-2,-134,-20,-13,-143
"Nae'Qwan Tomlin",CLE,380,0,-93,-54,-13,-65
"Pete Nance",MIL,310,-1,-252,9,49,-97
"Ochai Agbaji",2TM,230,0,-143,-64,-13,-152
"Josh Green",UTA,330,0,-202,-60,49,-59
"Leonard Miller",CHI,570,-1,22,-2,-13,-36
"Gary Payton II",GSW,710,1,41,8,-13,76
"Kenrich Williams",OKC,460,-1,-31,3,-13,-97
"Justin Edwards",PHI,360,-1,-96,-24,-13,-107
"Mouhamed Gueye",ATL,400,1,-179,-5,-13,-6
"Goga Bitadze",ORL,660,1,-33,91,-13,18
"Julian Strawther",DEN,410,-1,-43,-44,-13,-87
"Guerschon Yabusele",2TM,360,-1,-51,-44,-13,-132
"Micah Peavy",NOP,50,0,-317,-73,-13,-151
"Rob Dillingham",CHI,100,-1,-193,-44,-13,-252
"Caleb Martin",DAL,230,1,-245,-28,-13,-88
"Karlo Matković",NOP,530,0,-28,19,-13,-49
"Nick Richards",MIA,110,-3,-202,-17,-13,-259
"Hugo González",BOS,310,1,-272,-19,1,3
"Tyus Jones",DEN,30,-2,-307,-38,-13,-215
"Dwight Powell",DAL,400,0,-180,70,-13,-74
"Gradey Dick",TOR,350,0,-54,-54,-13,-132
"Jamaree Bouyea",PHX,570,1,1,25,1,-56
"Paul Reed",DET,1340,2,443,149,-13,164
"Gary Harris",DET,40,-1,-320,-37,-13,-193
"Tristan Vukcevic",WAS,810,-1,296,3,-13,-75
"Aaron Holiday",HOU,490,0,-55,4,49,-107
"Jordan Hawkins",NOP,60,-2,-193,-84,-13,-252
"Jonas Valančiūnas",DEN,1090,-1,428,142,-13,-66
"Drew Eubanks",SAC,180,-1,-154,-38,-13,-215
"Jaylen Clark",MIN,360,1,-140,-59,-13,-29
"Noah Penda",ORL,230,-1,-205,2,-13,-151
"Jett Howard",DAL,360,-2,-68,-51,-13,-107
"Tre Mann",WAS,170,-2,-135,-48,-13,-231
"Terrence Shannon Jr.",MIN,510,-1,55,-24,-13,-107
"Clint Capela",HOU,750,3,-21,75,-13,109
"Thomas Bryant",CLE,630,0,65,1,-13,-25
"Jamal Cain",ORL,430,0,-28,-58,-13,-72
"Rasheer Fleming",PHX,400,0,-54,-53,-13,-85
"Zeke Nnaji",DEN,310,1,-138,-57,-13,-84
"Tyrese Haliburton",IND,1220,0,310,101,49,155
"Kyrie Irving",DAL,1110,-1,279,31,49,154
"Damian Lillard",POR,1150,-1,330,60,49,106
"Fred VanVleet",HOU,660,1,-74,14,-13,132
