Player,Team,Pos,Speed,Power,Speed+Power,Def Boost,EPM,EPM Off,EPM Def,Off -12,Off -11,Off -10,Off -9,Off -8,Off -7,Off -6,Off -5,Off -4,Off -3,Off -2,Off -1,Off +0,Off +1,Off +2,Off +3,Off +4,Off +5,Off +6,Off +7,Off +8,Off +9,Off +10,Off +11,Off +12,Off +13,Off +14,Off +15,Off +16,Off +17,Off +18,Total Advantages,Total Disadvantages,Neutral Matchups,Adv by Speed,Adv by Power,Adv by Both,Off Adv Magnitude,Off Dis Magnitude,Off Net Magnitude,Off Mean Roll Bonus,Off Max,Off Min,Off Blunted by Opp Def,Off Neutralised by Opp Def,Def -12,Def -11,Def -10,Def -9,Def -8,Def -7,Def -6,Def -5,Def -4,Def -3,Def -2,Def -1,Def +0,Def +1,Def +2,Def +3,Def +4,Def +5,Def +6,Def +7,Def +8,Def +9,Def +10,Def +11,Def +12,Def +13,Def +14,Def +15,Def +16,Def +17,Def +18,Advantages Allowed,Penalties Forced,Neutrals Allowed,Def Magnitude Allowed,Def Net Magnitude,Def Mean Allowed,Def Blunted (his Def Boost),Def Neutralised (his Def Boost),Net Edge,Budget Net Edge,Def Boost Credit,Net Edge z,EPM z,Residual,Off Residual,Def Residual
Keegan Murray,SAC,PF,8,10,18,1,-0.2784,-0.9973,0.7189,0,0,0,0,0,0,0,1,3,7,12,30,69,41,65,44,30,29,13,7,2,0,0,0,0,0,0,0,0,0,0,231,53,69,30,124,77,711,92,619,1.7535,8,-5,58,22,0,0,0,0,0,0,1,3,11,9,23,34,92,46,29,34,21,23,13,7,4,3,0,0,0,0,0,0,0,0,0,180,81,92,591,419,1.187,223,43,0.5666,0.0992,0.4674,0.1327,-0.0335,0.1662,0.4047,-0.332
Jaylen Brown,PHI,SF,12,11,23,0,1.8761,1.9853,-0.1092,0,0,0,0,0,0,0,0,0,1,1,5,29,35,33,52,59,51,50,18,11,7,1,0,0,0,0,0,0,0,0,317,7,29,69,63,185,1335,10,1325,3.7535,10,-3,119,17,0,0,0,0,6,8,12,24,26,43,41,41,41,34,31,19,10,10,4,1,1,1,0,0,0,0,0,0,0,0,0,111,201,41,291,-361,-1.0227,0,0,4.7762,5.1133,-0.3371,0.9879,0.8793,0.1087,-0.4149,1.3315
Lauri Markkanen,UTA,PF,11,15,26,0,3.7762,3.3656,0.4106,0,0,0,0,0,0,0,0,0,0,0,1,17,11,16,22,32,51,32,51,40,31,27,13,7,2,0,0,0,0,0,335,1,17,10,105,220,2163,1,2162,6.1246,13,-1,133,14,0,0,0,1,5,10,13,31,45,50,46,38,19,34,20,17,12,7,3,2,0,0,0,0,0,0,0,0,0,0,0,95,239,19,240,-572,-1.6204,0,0,7.745,8.1218,-0.3768,1.5911,1.6843,-0.0932,-0.2631,1.146
Derrick White,BOS,SG,16,10,26,2,3.8091,1.4354,2.3737,0,0,0,0,0,0,0,0,0,0,1,1,12,18,16,22,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,339,2,12,138,4,197,2294,3,2291,6.4901,14,-2,141,8,0,0,0,0,2,7,13,29,37,46,42,37,99,16,9,4,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,41,213,99,105,-590,-1.6714,155,51,8.1615,8.1218,0.0397,1.6757,1.6982,-0.0225,0.8772,-0.5091
Cade Cunningham,DET,PG,15,11,26,1,3.9266,3.251,0.6756,0,0,0,0,0,0,0,0,0,0,1,1,12,23,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,339,2,12,91,21,227,2015,3,2012,5.6997,13,-2,137,10,0,0,0,2,7,13,26,37,36,44,35,48,60,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,45,248,60,111,-789,-2.2351,71,26,7.9348,8.1218,-0.187,1.6297,1.748,-0.1183,-0.3595,1.1856
Brandon Ingram,TOR,SF,9,9,18,-1,-0.3449,0.2374,-0.5823,0,0,0,0,0,0,1,0,2,9,14,33,67,57,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,0,0,227,59,67,56,77,94,613,102,511,1.4476,7,-6,59,21,0,0,0,0,0,0,2,7,9,15,25,41,35,52,33,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,0,219,99,35,754,535,1.5156,0,0,-0.068,0.0992,-0.1671,0.0038,-0.0617,0.0654,-0.3512,0.6375
Desmond Bane,ORL,SG,13,10,23,0,1.5551,1.657,-0.1019,0,0,0,0,0,0,0,0,0,1,2,2,40,26,33,50,41,50,44,35,13,10,5,1,0,0,0,0,0,0,0,308,5,40,107,25,176,1420,9,1411,3.9972,11,-3,119,19,0,0,0,0,2,7,12,21,32,38,40,36,43,41,30,21,12,6,7,2,1,1,1,0,0,0,0,0,0,0,0,122,188,43,325,-275,-0.779,0,0,4.7762,5.1133,-0.3371,0.9879,0.7433,0.2447,-0.1543,1.2198
Donovan Mitchell,CLE,SG,15,11,26,0,3.9823,4.2765,-0.2942,0,0,0,0,0,0,0,0,0,0,1,1,12,23,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,339,2,12,91,21,227,2015,3,2012,5.6997,13,-2,137,10,0,0,0,2,7,13,26,37,36,44,35,48,34,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,0,71,248,34,182,-718,-2.034,0,0,7.7337,8.1218,-0.3881,1.5888,1.7716,-0.1828,-0.894,1.9271
Devin Booker,PHX,SG,14,10,24,0,2.1624,2.6465,-0.4841,0,0,0,0,0,0,0,0,0,1,1,3,32,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,316,5,32,115,11,190,1676,8,1668,4.7252,12,-3,127,17,0,0,0,0,2,7,13,26,37,36,44,35,47,35,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,106,200,47,288,-364,-1.0312,0,0,5.7564,6.1161,-0.3598,1.1871,1.0006,0.1865,-0.4025,1.6554
Cooper Flagg,DAL,SF,9,10,19,0,-0.0748,0.017,-0.0918,0,0,0,0,0,0,0,1,1,5,9,19,69,42,60,59,35,28,15,8,2,0,0,0,0,0,0,0,0,0,0,249,35,69,48,99,102,781,61,720,2.0397,8,-5,70,25,0,0,0,0,0,0,3,9,9,16,37,36,48,45,32,39,26,19,18,8,4,3,1,0,0,0,0,0,0,0,0,195,110,48,658,401,1.136,0,0,0.9037,1.102,-0.1983,0.2012,0.0528,0.1484,-0.0188,0.3826
Scottie Barnes,TOR,PF,10,14,24,2,2.7694,0.9986,1.7707,0,0,0,0,0,0,0,0,0,0,1,4,24,16,22,32,51,32,51,40,31,27,13,7,2,0,0,0,0,0,0,324,5,24,7,135,182,1828,6,1822,5.1615,12,-2,119,17,0,0,0,0,1,5,10,13,31,45,50,46,91,20,17,12,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,61,201,91,145,-428,-1.2125,210,54,6.3739,6.1161,0.2578,1.3125,1.2577,0.0548,0.6167,-0.1925
Nickeil Alexander-Walker,ATL,SG,14,9,23,0,1.8349,1.7957,0.0393,0,0,0,0,0,0,0,0,0,2,0,10,32,21,34,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,309,12,32,138,4,167,1643,16,1627,4.6091,12,-3,119,12,0,0,0,0,0,2,7,13,29,36,43,45,31,49,33,22,18,9,4,7,2,1,1,1,0,0,0,0,0,0,0,147,175,31,417,-59,-0.1671,0,0,4.7762,5.1133,-0.3371,0.9879,0.8618,0.1261,-0.0017,0.8345
Deni Avdija,POR,SF,12,11,23,-1,1.8197,2.7806,-0.961,0,0,0,0,0,0,0,0,0,1,1,5,29,35,33,52,59,51,50,18,11,7,1,0,0,0,0,0,0,0,0,317,7,29,69,63,185,1335,10,1325,3.7535,10,-3,119,17,0,0,0,0,6,8,12,24,26,43,41,41,41,34,31,19,10,10,4,1,1,1,0,0,0,0,0,0,0,0,0,111,201,41,291,-361,-1.0227,0,0,4.7762,5.1133,-0.3371,0.9879,0.8554,0.1326,-0.8294,2.0592
Alperen Şengün,HOU,C,8,12,20,-1,0.4834,1.2583,-0.7749,0,0,0,0,0,0,0,0,1,4,8,16,38,32,51,32,51,40,31,27,13,7,2,0,0,0,0,0,0,0,0,286,29,38,9,179,98,1196,48,1148,3.2521,10,-4,85,18,0,0,0,0,0,0,1,5,10,13,31,45,49,46,38,20,34,20,17,12,7,3,2,0,0,0,0,0,0,0,0,199,105,49,707,490,1.3881,0,0,1.864,2.1048,-0.2408,0.3963,0.2892,0.107,-0.2202,0.8572
Toumani Camara,POR,PF,9,11,20,1,0.5195,-0.3338,0.8533,0,0,0,0,0,0,0,0,1,3,7,12,54,45,41,65,44,30,29,13,7,2,0,0,0,0,0,0,0,0,0,276,23,54,28,126,122,987,39,948,2.6856,9,-4,83,25,0,0,0,0,0,1,3,11,9,23,34,50,88,29,34,21,23,13,7,4,3,0,0,0,0,0,0,0,0,0,0,134,131,88,411,108,0.3059,180,46,2.3796,2.1048,0.2748,0.501,0.3046,0.1965,0.4014,-0.0657
Shai Gilgeous-Alexander,OKC,PG,18,12,30,2,8.1376,6.6214,1.5162,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,18,16,22,29,24,41,39,43,43,35,13,10,5,1,0,0,352,0,1,75,1,276,2994,0,2994,8.4816,16,0,146,1,0,0,2,7,13,29,37,46,42,37,49,29,46,4,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,291,46,39,-1209,-3.4249,66,25,11.9065,12.1331,-0.2266,2.4366,3.532,-1.0954,-1.094,0.9822
Pascal Siakam,IND,PF,9,13,22,0,1.3557,1.5073,-0.1516,0,0,0,0,0,0,0,0,0,1,4,8,32,22,32,51,32,51,40,31,27,13,7,2,0,0,0,0,0,0,0,308,13,32,7,158,143,1504,19,1485,4.2068,11,-3,102,17,0,0,0,0,0,1,5,10,13,31,45,50,45,38,20,34,20,17,12,7,3,2,0,0,0,0,0,0,0,0,0,153,155,45,508,136,0.3853,0,0,3.8215,4.1105,-0.289,0.794,0.6588,0.1352,0.0008,0.7585
LeBron James,PHI,SF,11,11,22,0,1.304,1.255,0.0489,0,0,0,0,0,0,0,0,1,0,2,9,36,39,39,57,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,305,12,36,57,75,173,1184,17,1167,3.3059,9,-4,111,23,0,0,0,0,2,7,9,15,25,41,36,52,32,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,0,0,0,134,187,32,368,-173,-0.4901,0,0,3.796,4.1105,-0.3144,0.7888,0.6369,0.1519,-0.1988,0.9659
OG Anunoby,NYK,PF,11,14,25,1,3.0033,1.8139,1.1894,0,0,0,0,0,0,0,0,0,0,0,2,18,17,20,30,51,41,53,41,31,27,13,7,2,0,0,0,0,0,0,333,2,18,16,103,214,1883,2,1881,5.3286,12,-1,129,13,0,0,0,1,5,9,13,22,45,47,46,45,52,25,18,12,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,68,233,52,157,-601,-1.7025,98,30,7.0312,7.119,-0.0878,1.4461,1.3568,0.0892,0.2532,0.5162
Dyson Daniels,ATL,SG,14,10,24,3,2.5899,0.0833,2.5066,0,0,0,0,0,0,0,0,0,1,1,3,32,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,316,5,32,115,11,190,1676,8,1668,4.7252,12,-3,127,17,0,0,0,0,2,7,13,26,37,36,44,35,126,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,27,200,126,66,-586,-1.6601,222,79,6.3853,6.1161,0.2691,1.3148,1.1817,0.1331,0.9334,-0.6276
Keyonte George,UTA,PG,13,7,20,-2,0.2962,2.7274,-2.4312,0,0,0,0,0,0,0,1,1,5,11,20,32,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,0,283,38,32,203,0,80,1329,66,1263,3.5779,11,-5,107,15,0,0,0,0,0,0,0,2,7,13,29,37,45,42,37,49,29,22,16,9,4,7,2,1,1,1,0,0,0,0,0,220,88,45,799,627,1.7762,0,0,1.8017,2.1048,-0.3031,0.3836,0.2099,0.1737,-0.8662,2.1044
Julius Randle,BKN,PF,9,12,21,0,1.1154,1.2282,-0.1128,0,0,0,0,0,0,0,0,0,2,6,8,41,30,51,41,53,41,31,27,13,7,2,0,0,0,0,0,0,0,0,296,16,41,19,146,131,1234,26,1208,3.4221,10,-3,94,21,0,0,0,0,0,1,5,9,13,22,45,47,45,45,23,30,25,18,12,7,4,2,0,0,0,0,0,0,0,0,0,166,142,45,542,205,0.5807,0,0,2.8414,3.1076,-0.2663,0.5948,0.557,0.0378,-0.1421,0.6408
Mikal Bridges,NYK,SF,12,11,23,1,1.9284,0.9055,1.0229,0,0,0,0,0,0,0,0,0,1,1,5,29,35,33,52,59,51,50,18,11,7,1,0,0,0,0,0,0,0,0,317,7,29,69,63,185,1335,10,1325,3.7535,10,-3,119,17,0,0,0,0,6,8,12,24,26,43,41,41,75,31,19,10,10,4,1,1,1,0,0,0,0,0,0,0,0,0,0,77,201,75,180,-472,-1.3371,111,34,5.0907,5.1133,-0.0227,1.0518,0.9014,0.1504,0.1479,0.5003
Jayson Tatum,BOS,PF,12,14,26,1,4.0303,3.218,0.8123,0,0,0,0,0,0,0,0,0,0,0,1,13,14,19,30,45,41,65,44,30,29,13,7,2,0,0,0,0,0,0,339,1,13,22,85,232,1957,1,1956,5.5411,12,-1,137,11,0,0,1,3,11,9,23,34,50,43,46,29,54,23,13,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50,249,54,101,-845,-2.3938,71,21,7.9348,8.1218,-0.187,1.6297,1.7919,-0.1623,-0.4006,1.1374
Michael Porter Jr.,BKN,SF,12,12,24,-1,2.3464,3.6809,-1.3344,0,0,0,0,0,0,0,0,0,1,0,2,24,21,39,39,57,59,51,31,16,10,3,0,0,0,0,0,0,0,0,326,3,24,49,72,205,1510,5,1505,4.2635,10,-3,127,16,0,0,0,2,7,9,15,25,41,36,52,33,39,32,25,14,13,5,3,1,1,0,0,0,0,0,0,0,0,0,0,94,220,39,234,-527,-1.4929,0,0,5.7564,6.1161,-0.3598,1.1871,1.0785,0.1085,-1.1113,2.5817
Bam Adebayo,MIA,C,10,16,26,2,3.5244,1.6785,1.8458,0,0,0,0,0,0,0,0,0,0,1,2,12,12,8,16,25,29,47,30,51,40,31,27,13,7,2,0,0,0,0,338,3,12,2,149,187,2463,4,2459,6.966,14,-2,129,10,0,0,0,0,1,5,10,15,35,49,51,41,88,19,17,11,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,58,207,88,137,-471,-1.3343,192,48,8.3003,8.1218,0.1785,1.7039,1.5776,0.1263,0.9254,-0.204
Payton Pritchard,BOS,PG,15,8,23,-1,1.6413,2.6377,-0.9964,0,0,0,0,0,0,0,0,0,1,4,6,24,13,22,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,318,11,24,198,0,120,1952,17,1935,5.4816,13,-3,132,14,0,0,0,0,0,0,2,7,13,29,37,46,45,37,47,28,21,16,9,4,7,2,1,1,1,0,0,0,0,0,0,174,134,45,568,262,0.7422,0,0,4.7394,5.1133,-0.3739,0.9804,0.7798,0.2006,-0.12,1.3259
Kawhi Leonard,LAC,SF,15,15,30,0,6.6271,6.2447,0.3824,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,13,21,39,39,57,59,51,31,16,10,3,0,0,0,0,0,351,0,2,26,33,292,2548,0,2548,7.2181,13,0,146,2,2,7,9,15,25,41,36,52,33,40,32,25,13,13,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,317,13,41,-1589,-4.5014,0,0,11.7195,12.1331,-0.4136,2.3986,2.8921,-0.4935,-1.3619,2.4166
Ryan Rollins,MIL,PG,13,8,21,0,1.0852,0.7831,0.302,0,0,0,0,0,0,0,0,2,0,10,21,32,34,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,0,288,33,32,168,5,115,1334,49,1285,3.6402,11,-4,107,14,0,0,0,0,0,0,2,7,13,29,36,43,44,32,49,33,22,18,9,4,7,2,1,1,1,0,0,0,0,0,0,179,130,44,596,295,0.8357,0,0,2.8045,3.1076,-0.3031,0.5874,0.5442,0.0432,0.17,0.1761
Josh Giddey,CHI,PG,11,8,19,-1,-0.0042,1.0538,-1.0579,0,0,0,0,0,0,0,1,2,2,22,29,48,50,41,50,44,35,13,10,5,1,0,0,0,0,0,0,0,0,0,249,56,48,129,19,101,830,92,738,2.0907,9,-5,84,23,0,0,0,0,0,0,2,7,12,21,32,38,39,36,44,41,30,21,12,6,7,2,1,1,1,0,0,0,0,0,0,202,112,39,693,433,1.2266,0,0,0.864,1.102,-0.238,0.1931,0.0827,0.1104,-0.5404,1.1689
Evan Mobley,CLE,PF,9,14,23,1,1.6629,0.7351,0.9278,0,0,0,0,0,0,0,0,0,1,2,5,26,14,26,31,47,30,51,40,31,27,13,7,2,0,0,0,0,0,0,319,8,26,2,169,148,1805,12,1793,5.0793,12,-3,109,14,0,0,0,0,0,1,5,10,15,33,48,51,77,25,29,19,17,12,6,3,2,0,0,0,0,0,0,0,0,0,0,113,163,77,341,-52,-0.1473,149,36,5.2266,5.1133,0.1133,1.0794,0.789,0.2905,0.7239,0.0667
Immanuel Quickley,TOR,PG,15,9,24,0,2.257,2.1676,0.0894,0,0,0,0,0,0,0,0,0,1,1,5,25,16,22,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,321,7,25,150,3,168,1955,10,1945,5.5099,13,-3,133,15,0,0,0,0,0,2,7,13,29,37,46,42,36,49,29,22,16,9,4,7,2,1,1,1,0,0,0,0,0,0,0,141,176,36,401,-81,-0.2295,0,0,5.7394,6.1161,-0.3768,1.1836,1.0406,0.143,0.1354,0.8186
Christian Braun,DEN,SG,10,8,18,0,-0.4275,-0.4698,0.0423,0,0,0,0,0,0,0,2,1,7,30,24,66,54,50,52,38,13,10,5,1,0,0,0,0,0,0,0,0,0,0,223,64,66,103,34,86,630,119,511,1.4476,8,-5,70,30,0,0,0,0,0,0,2,7,10,19,24,32,45,33,46,38,36,25,15,7,9,2,1,1,1,0,0,0,0,0,0,214,94,45,770,546,1.5467,0,0,-0.0992,0.0992,-0.1983,-0.0026,-0.0966,0.0941,0.0174,0.0904
Jaden McDaniels,MIN,PF,10,10,20,1,0.601,-0.5212,1.1222,0,0,0,0,0,0,0,1,0,2,9,14,61,39,57,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,0,266,26,61,65,77,124,879,43,836,2.3683,8,-5,88,29,0,0,0,0,0,2,7,9,15,25,41,36,84,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,0,0,0,134,135,84,368,14,0.0397,167,33,2.3286,2.1048,0.2238,0.4907,0.3391,0.1516,0.3825,-0.1802
